4.216,0.418,234.840,18.400,0.000,1.000,17.000
5.360,0.436,233.630,23.000,0.000,1.000,16.000
5.374,0.498,233.290,23.000,0.000,2.000,17.000
5.388,0.502,233.740,23.000,0.000,1.000,17.000
3.666,0.528,235.680,15.800,0.000,1.000,17.000
3.520,0.522,235.020,15.000,0.000,2.000,17.000
3.702,0.520,235.090,15.800,0.000,1.000,17.000
3.700,0.520,235.220,15.800,0.000,1.000,17.000
3.668,0.510,233.990,15.800,0.000,1.000,17.000
3.662,0.510,233.860,15.800,0.000,2.000,16.000
4.448,0.498,232.860,19.600,0.000,1.000,17.000
5.412,0.470,232.780,23.200,0.000,1.000,17.000
5.224,0.478,232.990,22.400,0.000,1.000,16.000
5.268,0.398,232.910,22.600,0.000,2.000,17.000
4.054,0.422,235.240,17.600,0.000,1.000,17.000
4.216,0.418,234.840,18.400,0.000,1.000,17.000
5.360,0.436,233.630,23.000,0.000,1.000,16.000
5.374,0.498,233.290,23.000,0.000,2.000,17.000
5.388,0.502,233.740,23.000,0.000,1.000,17.000
3.666,0.528,235.680,15.800,0.000,1.000,17.000
3.520,0.522,235.020,15.000,0.000,2.000,17.000
3.702,0.520,235.090,15.800,0.000,1.000,17.000
3.700,0.520,235.220,15.800,0.000,1.000,17.000
3.668,0.510,233.990,15.800,0.000,1.000,17.000
3.662,0.510,233.860,15.800,0.000,2.000,16.000
4.448,0.498,232.860,19.600,0.000,1.000,17.000
5.412,0.470,232.780,23.200,0.000,1.000,17.000
5.224,0.478,232.990,22.400,0.000,1.000,16.000
5.268,0.398,232.910,22.600,0.000,2.000,17.000
4.216,0.418,234.840,18.400,0.000,1.000,17.000
5.360,0.436,233.630,23.000,0.000,1.000,16.000
5.374,0.498,233.290,23.000,0.000,2.000,17.000
5.388,0.502,233.740,23.000,0.000,1.000,17.000
3.666,0.528,235.680,15.800,0.000,1.000,17.000
3.520,0.522,235.020,15.000,0.000,2.000,17.000
3.702,0.520,235.090,15.800,0.000,1.000,17.000
3.700,0.520,235.220,15.800,0.000,1.000,17.000
3.668,0.510,233.990,15.800,0.000,1.000,17.000
3.662,0.510,233.860,15.800,0.000,2.000,16.000
4.448,0.498,232.860,19.600,0.000,1.000,17.000
5.412,0.470,232.780,23.200,0.000,1.000,17.000
5.224,0.478,232.990,22.400,0.000,1.000,16.000
5.268,0.398,232.910,22.600,0.000,2.000,17.000
4.054,0.422,235.240,17.600,0.000,1.000,17.000
4.216,0.418,234.840,18.400,0.000,1.000,17.000
5.360,0.436,233.630,23.000,0.000,1.000,16.000
5.374,0.498,233.290,23.000,0.000,2.000,17.000
5.388,0.502,233.740,23.000,0.000,1.000,17.000
3.666,0.528,235.680,15.800,0.000,1.000,17.000
3.520,0.522,235.020,15.000,0.000,2.000,17.000
3.702,0.520,235.090,15.800,0.000,1.000,17.000
3.700,0.520,235.220,15.800,0.000,1.000,17.000
3.668,0.510,233.990,15.800,0.000,1.000,17.000
3.662,0.510,233.860,15.800,0.000,2.000,16.000
4.448,0.498,232.860,19.600,0.000,1.000,17.000
5.412,0.470,232.780,23.200,0.000,1.000,17.000
5.224,0.478,232.990,22.400,0.000,1.000,16.000
5.268,0.398,232.910,22.600,0.000,2.000,17.000
4.216,0.418,234.840,18.400,0.000,1.000,17.000
5.360,0.436,233.630,23.000,0.000,1.000,16.000
5.374,0.498,233.290,23.000,0.000,2.000,17.000
5.388,0.502,233.740,23.000,0.000,1.000,17.000
3.666,0.528,235.680,15.800,0.000,1.000,17.000
3.520,0.522,235.020,15.000,0.000,2.000,17.000
3.702,0.520,235.090,15.800,0.000,1.000,17.000
3.700,0.520,235.220,15.800,0.000,1.000,17.000
3.668,0.510,233.990,15.800,0.000,1.000,17.000
3.662,0.510,233.860,15.800,0.000,2.000,16.000
4.448,0.498,232.860,19.600,0.000,1.000,17.000
5.412,0.470,232.780,23.200,0.000,1.000,17.000
5.224,0.478,232.990,22.400,0.000,1.000,16.000
5.268,0.398,232.910,22.600,0.000,2.000,17.000
4.054,0.422,235.240,17.600,0.000,1.000,17.000
4.216,0.418,234.840,18.400,0.000,1.000,17.000
5.360,0.436,233.630,23.000,0.000,1.000,16.000
5.374,0.498,233.290,23.000,0.000,2.000,17.000
5.388,0.502,233.740,23.000,0.000,1.000,17.000
